GridI,GridJ,GridK,x,y,Y_lm,u1976,v1976,T25_DeltaWhiteRatio_Q10000,T45_DeltaWhiteRatio_Q10000,T60_DeltaWhiteRatio_Q10000,T80_DeltaWhiteRatio_Q10000,T100_DeltaWhiteRatio_Q10000
3,24,16,0.182072093023256,0.425816279069767,4,0.0940254546437161,0.494773961682925,0,0,0,0,0
3,25,15,0.181720930232558,0.441595348837209,4,0.0915966465358791,0.500819962301662,0,0,0,0,0
3,26,14,0.18136976744186,0.457374418604651,4,0.0892814519669589,0.506583146206978,0,0,0,0,0
3,27,13,0.181018604651163,0.473153488372093,4,0.0870720812932281,0.512082904058285,0,0,0,0,0
3,28,12,0.180667441860465,0.488932558139535,4,0.0849614410646783,0.517336893488973,0,0,0,0,0
3,29,11,0.180316279069767,0.504711627906977,4,0.0829430579476043,0.522361228484933,0,0,0,0,0
3,30,10,0.17996511627907,0.520490697674419,4,0.0810110124099638,0.52717064446074,0,0,0,0,0
3,31,9,0.179613953488372,0.53626976744186,4,0.0791598807384867,0.531778642595711,0,0,0,0,0
3,32,8,0.179262790697674,0.552048837209302,4,0.0773846841913199,0.536197616407565,0,0,0,0,0
3,33,7,0.178911627906977,0.567827906976744,4,0.0756808442823246,0.540438963062648,0,0,0,0,0
3,34,6,0.178560465116279,0.583606976744186,4,0.0740441433513748,0.544513181527779,0,0,0,0,0
3,35,5,0.178209302325581,0.599386046511628,4,0.0724706897057196,0.548429959343404,0,0,0,0,0
3,36,4,0.177858139534884,0.61516511627907,4,0.0709568867258879,0.552198249527868,0,0,0,0,0
3,37,3,0.177506976744186,0.630944186046512,4,0.0694994054198755,0.555826338897923,0,0,0,0,0
3,38,2,0.177155813953488,0.646723255813954,4,0.0680951599847857,0.559321908902823,0,0,0,0,0
3,39,1,0.176804651162791,0.662502325581395,4,0.0667412859983408,0.562692089911905,0,0,0,0,0
3,40,0,0.176453488372093,0.678281395348837,4,0.0654351209159106,0.565943509763092,0,0,0,0,0
4,0,39,0.2033,0.0533581395348837,4,0.251476817524757,0.148505922372689,0,0,0,0,0
4,1,38,0.202948837209302,0.0691372093023256,4,0.237107155762893,0.181740809068259,0,-275,-512,-765,-1222
4,2,37,0.202597674418605,0.0849162790697674,4,0.224248906324207,0.211480024248134,0,-221,-412,-615,-975
4,3,36,0.202246511627907,0.100695348837209,4,0.212675525905203,0.238247528820241,0,-184,-343,-512,-806
4,4,35,0.201895348837209,0.116474418604651,4,0.202203591754407,0.262467552280278,0,32,70,117,204
4,5,34,0.201544186046512,0.132253488372093,4,0.192683008170752,0.284487243621811,0,29,54,84,138
4,6,33,0.201193023255814,0.148032558139535,4,0.183989766176704,0.304593417133572,0,51,90,121,166
4,7,32,0.200841860465116,0.163811627906977,4,0.176020512151575,0.323025114341385,0,30,46,57,86
4,8,31,0.200490697674419,0.179590697674419,4,0.16868841921746,0.339983152877365,0,4,-8,-26,-54
4,9,30,0.200139534883721,0.19536976744186,4,0.161920010837314,0.355637473024307,0,-12,-42,-85,-149
4,10,29,0.199788372093023,0.211148837209302,4,0.155652689891335,0.370132852593864,0,-25,-70,-132,-222
4,11,28,0.199437209302326,0.226927906976744,4,0.149832796955751,0.383593397838416,0,13,-23,-89,-195
4,12,27,0.199086046511628,0.242706976744186,4,0.144414070111009,0.396126105685249,0,-21,-60,-114,-206
4,13,26,0.19873488372093,0.258486046511628,4,0.139356412635616,0.407823713877098,0,-31,-79,-142,-249
4,14,25,0.198383720930233,0.27426511627907,4,0.134624899096425,0.418766999737236,0,-36,-90,-159,-264
4,15,24,0.198032558139535,0.290044186046512,4,0.130188967710372,0.429026648116438,0,-45,-105,-181,-293
4,16,23,0.197681395348837,0.305823255813953,4,0.126021759483359,0.438664779866288,0,-49,-115,-199,-322
4,17,22,0.19733023255814,0.321602325581395,4,0.122099573920664,0.447736210699901,0,-50,-118,-205,-333
4,18,21,0.196979069767442,0.337381395348837,4,0.118401418004491,0.456289494339654,0,-52,-124,-177,-177
4,19,20,0.196627906976744,0.353160465116279,4,0.114908630310872,0.464367791878794,0,0,0,0,0
4,20,19,0.196276744186047,0.368939534883721,4,0.111604566056074,0.472009600222154,0,0,0,0,0
4,21,18,0.195925581395349,0.384718604651163,4,0.108474331853069,0.479249365554945,0,0,0,0,0
4,22,17,0.195574418604651,0.400497674418605,4,0.105504561259125,0.486118002467715,0,0,0,0,0
4,23,16,0.195223255813954,0.416276744186046,4,0.102683223978746,0.492643335241534,0,0,0,0,0
4,24,15,0.194872093023256,0.432055813953488,4,0.0999994629780018,0.498850474578274,0,0,0,0,0
4,25,14,0.194520930232558,0.44783488372093,4,0.0974434548599988,0.504762140531347,0,0,0,0,0
4,26,13,0.19416976744186,0.463613953488372,4,0.0950062897161008,0.510398940391925,0,0,0,0,0
4,27,12,0.193818604651163,0.479393023255814,4,0.0926798673555401,0.515779608694395,0,0,0,0,0
4,28,11,0.193467441860465,0.495172093023256,4,0.0904568073665033,0.52092121523166,0,0,0,0,0
4,29,10,0.193116279069767,0.510951162790698,4,0.0883303709045885,0.525839345946791,0,0,0,0,0
4,30,9,0.19276511627907,0.526730232558139,4,0.0862943924625535,0.53054826073943,0,0,0,0,0
4,31,8,0.192413953488372,0.542509302325581,4,0.0843432201662032,0.535061031552507,0,0,0,0,0
4,32,7,0.192062790697674,0.558288372093023,4,0.0824716633787648,0.539389663555518,0,0,0,0,0
4,33,6,0.191711627906977,0.574067441860465,4,0.0806749465908679,0.543545201790123,0,0,0,0,0
4,34,5,0.191360465116279,0.589846511627907,4,0.0789486687336503,0.547537825272881,0,0,0,0,0
4,35,4,0.191009302325581,0.605625581395349,4,0.0772887671851622,0.551376930243062,0,0,0,0,0
