wavelength_nm,R_component_W_nm,G_component_W_nm,B_component_W_nm,S_RGB_target_W_nm,S_single_white_W_nm
500.6,4.10232192538408e-08,2.53398904801781e-05,1.25506754745721e-06,2.66359812468891e-05,2.90158768322058e-05
500.8,7.07338310258763e-08,2.58633171525262e-05,1.27017568472174e-06,2.72042266682738e-05,2.9001464018361e-05
501,4.65997304708981e-08,2.64179481072644e-05,1.23367952181163e-06,2.76982273595469e-05,2.90706455248157e-05
501.2,4.81086160622658e-09,2.69846581390567e-05,1.18102857357349e-06,2.81704975742364e-05,2.91816241914201e-05
501.4,2.44326501104895e-10,2.75423088630584e-05,1.16896936762439e-06,2.87115225571839e-05,2.93127807974072e-05
501.6,9.69434337460455e-09,2.8093920048533e-05,1.1674221487479e-06,2.92710365406555e-05,2.94093466501668e-05
501.8,4.79051002991996e-09,2.86022478745634e-05,1.13729688709393e-06,2.97443352716873e-05,2.93416064250966e-05
502,5.04943228707207e-09,2.91598985985651e-05,1.10562440656346e-06,3.02705724374156e-05,2.92998092649469e-05
502.2,3.89235103679327e-08,2.99339661197877e-05,1.10257547524803e-06,3.10754651054036e-05,2.95707701652278e-05
502.4,6.70176511231911e-08,3.07080336410103e-05,1.10239344949785e-06,3.18774447416313e-05,2.9821553126126e-05
502.6,4.46165724625169e-08,3.12546118777123e-05,1.08059586591439e-06,3.23798243160892e-05,2.96817488318322e-05
502.8,2.79058662607917e-08,3.17619331139882e-05,1.06594279302529e-06,3.28557817732743e-05,2.95938306673794e-05
503,6.12035554250212e-08,3.23336760945531e-05,1.08250713629123e-06,3.34773867862693e-05,2.98979410395031e-05
503.2,9.46662089082118e-08,3.29295772292264e-05,1.09065278861156e-06,3.41148962267462e-05,3.01890798791666e-05
503.4,9.99289293011582e-08,3.35345376716903e-05,1.06307588746003e-06,3.46975424884515e-05,3.02135816627026e-05
503.6,8.54793101234553e-08,3.42431768588694e-05,1.02849099492677e-06,3.53571471639196e-05,3.019340372332e-05
503.8,5.01446702381399e-08,3.51249494838251e-05,1.00059554871244e-06,3.61756897027757e-05,3.02308770393163e-05
504,3.6058151871194e-08,3.59251883386651e-05,9.85350892135274e-07,3.69465973826716e-05,3.0275556762235e-05
504.2,6.54002835612021e-08,3.65059906270206e-05,9.87580707574919e-07,3.75589716181568e-05,3.03159126410002e-05
504.4,7.16133418785987e-08,3.70807533768491e-05,9.75931059563714e-07,3.81282977782914e-05,3.03966243985307e-05
504.6,3.17305281340982e-08,3.77491289738475e-05,9.39434896653609e-07,3.87202943986352e-05,3.0537869974209e-05
504.8,1.61620205321369e-08,3.85050778794888e-05,9.18820480446281e-07,3.94400603804672e-05,3.06661440174271e-05
505,4.22236932923681e-08,3.93556462220546e-05,9.24008214326271e-07,4.03218781296732e-05,3.07439732121886e-05
505.2,4.66346957341561e-08,4.02656033601368e-05,9.1627211994383e-07,4.12285101758147e-05,3.07194714286526e-05
505.4,2.03973001124228e-08,4.1181600036746e-05,8.89013763855111e-07,4.20910111007136e-05,3.06156991689705e-05
505.6,2.08545381704131e-08,4.19898916096221e-05,8.75179806841804e-07,4.28859259546344e-05,3.07064998961923e-05
505.8,4.95251574968238e-08,4.26693396939202e-05,8.76317467780399e-07,4.35951823191975e-05,3.098610848478e-05
506,5.04342543415337e-08,4.33417416499367e-05,8.63803197455862e-07,4.42559791017341e-05,3.11648273764547e-05
506.2,2.70371139506103e-08,4.40594401449064e-05,8.40458394995907e-07,4.49269356538529e-05,3.12210373504491e-05
506.4,3.36204454404578e-08,4.49049755386996e-05,8.38001047368544e-07,4.57765970315086e-05,3.13262508915156e-05
506.6,5.90751570923373e-08,4.58632489849985e-05,8.48239995815892e-07,4.67705641379068e-05,3.14516423719647e-05
506.8,4.45322972126128e-08,4.68607794317236e-05,8.33268377863991e-07,4.77385801068002e-05,3.14170516187374e-05
507,8.2823743206265e-09,4.78321385448312e-05,8.02369506771771e-07,4.86427904259236e-05,3.13046316707485e-05
507.2,1.07083360090888e-08,4.87068650415054e-05,7.87716433882677e-07,4.95052898113971e-05,3.13752544585877e-05
507.4,3.44883012054275e-08,4.95362949992263e-05,7.8498604763005e-07,5.03557693480618e-05,3.15626210385692e-05
507.6,3.69278007265871e-08,5.04371928295178e-05,7.85896176380926e-07,5.12600168066254e-05,3.17182794280922e-05
507.8,2.6791460562592e-08,5.13743278909719e-05,7.79297742937079e-07,5.21804170944716e-05,3.1809080155314e-05
508,2.05021959021971e-08,5.22752257212635e-05,7.39024545710842e-07,5.30347524628765e-05,3.17615178696264e-05
508.2,1.54887150781123e-08,5.31982685261547e-05,6.9283551160391e-07,5.39065927528367e-05,3.16735997051736e-05
508.4,2.56411930559225e-09,5.42501548196233e-05,6.80548773467096e-07,5.4933267712396e-05,3.16635107354822e-05
508.6,0,5.53312322159731e-05,6.89786580288481e-07,5.60210187962616e-05,3.17514288999351e-05
508.8,4.0669980440413e-08,5.63468812782795e-05,7.2018488056772e-07,5.71077361392876e-05,3.20627456789812e-05
509,8.30084315198845e-08,5.73383721864774e-05,7.44348798903463e-07,5.81657294169008e-05,3.2366856051105e-05
509.2,7.7059854039946e-08,5.83510014795205e-05,7.21322541506305e-07,5.91493838750667e-05,3.23726211766428e-05
509.4,5.27679615277074e-08,5.93112881053282e-05,6.87465751973749e-07,6.00515218188296e-05,3.22919094191124e-05
509.6,2.3088728838083e-08,6.01004544728685e-05,6.6985476064431e-07,6.07933979623509e-05,3.22400232892714e-05
509.8,0,6.09550491744523e-05,6.54792129817321e-07,6.16098413042696e-05,3.2232816882349e-05
510,0,6.21347723667447e-05,6.37681709300863e-07,6.27724540760456e-05,3.23495606744913e-05
