序号,目标xyY,方法,Ra,RGB点,白色_RGB比例,RGB权重,Ra差_精确减当前,说明,白色比例,RGB比例,该目标近似最优来源
,,投影K点,43.6239577149083,"(0.15642, 0.34029)","W=0.1167, RGB=0.8833","R=0.0048, G=0.8320, B=0.2576",5.6588646459482,对比精确法,0.11667410849661,0.88332589150339,Ratio1
,,同比例,49.2828223608565,"(0.17660, 0.34020)","W=0.0000, RGB=1.0000","R=0.0836, G=0.9127, B=0.2798",0,对比精确法,0,1,Ratio1
,,纯RGB,49.2828223608565,"(0.17660, 0.34020)","W=0.0000, RGB=1.0000","R=0.0836, G=0.9127, B=0.2798",0,对比精确法,0,1,Ratio1
24,"(0.1800, 0.3800, 2.8720)",精确法,46.7380323446331,"(0.18000, 0.38000)","W=0.0000, RGB=1.0000","R=0.0874, G=0.9558, B=0.2298",0,基准,0,1,Ratio1
,,投影1点,40.5922088867176,"(0.15678, 0.38631)","W=0.1204, RGB=0.8796","R=0.0031, G=0.8695, B=0.2061",6.1458234579155,对比精确法,0.120412172721276,0.879587827278724,Ratio1
,,投影K点,41.9366280644353,"(0.16193, 0.38491)","W=0.0966, RGB=0.9034","R=0.0197, G=0.8866, B=0.2108",4.8014042801978,对比精确法,0.0965888366739261,0.903411163326074,Ratio1
,,同比例,46.7380323446331,"(0.18000, 0.38000)","W=0.0000, RGB=1.0000","R=0.0874, G=0.9558, B=0.2298",0,对比精确法,0,1,Ratio1
,,纯RGB,46.7380323446331,"(0.18000, 0.38000)","W=0.0000, RGB=1.0000","R=0.0874, G=0.9558, B=0.2298",0,对比精确法,0,1,Ratio1
25,"(0.1808, 0.4144, 2.9310)",精确法,43.2029885440329,"(0.18080, 0.41440)","W=0.0000, RGB=1.0000","R=0.0825, G=0.9855, B=0.1921",0,基准,0,1,Ratio1
,,投影1点,41.3783615997079,"(0.17369, 0.41799)","W=0.0375, RGB=0.9625","R=0.0557, G=0.9581, B=0.1846",1.824626944325,对比精确法,0.0374760464267145,0.962523953573285,Ratio1
,,投影K点,41.0899731682079,"(0.17257, 0.41856)","W=0.0431, RGB=0.9569","R=0.0517, G=0.9540, B=0.1834",2.113015375825,对比精确法,0.0430774996358824,0.956922500364118,Ratio1
,,同比例,43.2029885440329,"(0.18080, 0.41440)","W=0.0000, RGB=1.0000","R=0.0825, G=0.9855, B=0.1921",0,对比精确法,0,1,Ratio1
,,纯RGB,43.2029873030783,"(0.18080, 0.41440)","W=0.0000, RGB=1.0000","R=0.0825, G=0.9855, B=0.1921",1.24095459597129e-06,对比精确法,0,1,Ratio1
26,"(0.1861, 0.5109, 3.1060)",精确法,35.3306427986179,"(0.18610, 0.51090)","W=0.0000, RGB=1.0000","R=0.0816, G=1.0633, B=0.1084",0,基准,0,1,Ratio1
,,投影1点,34.8983809529873,"(0.18414, 0.51324)","W=0.0090, RGB=0.9910","R=0.0748, G=1.0563, B=0.1065",0.432261845630599,对比精确法,0.00896865836533457,0.991031341634665,Ratio1
,,投影K点,34.7770322892191,"(0.18359, 0.51391)","W=0.0115, RGB=0.9885","R=0.0729, G=1.0544, B=0.1060",0.553610509398801,对比精确法,0.0114614569002631,0.988538543099737,Ratio1
,,同比例,35.3306427986179,"(0.18610, 0.51090)","W=0.0000, RGB=1.0000","R=0.0816, G=1.0633, B=0.1084",0,对比精确法,0,1,Ratio1
,,纯RGB,35.3306427986179,"(0.18610, 0.51090)","W=0.0000, RGB=1.0000","R=0.0816, G=1.0633, B=0.1084",0,对比精确法,0,1,Ratio1
27,"(0.1934, 0.6418, 3.2690)",精确法,15.6641427002602,"(0.19340, 0.64180)","W=0.0000, RGB=1.0000","R=0.0807, G=1.1364, B=0.0263",0,基准,0,1,Ratio1
,,投影1点,13.4425846663677,"(0.17998, 0.67171)","W=0.0476, RGB=0.9524","R=0.0427, G=1.0976, B=0.0157",2.2215580338925,对比精确法,0.0476194436916183,0.952380556308382,Ratio1
,,投影K点,14.2333351229835,"(0.18498, 0.66055)","W=0.0309, RGB=0.9691","R=0.0561, G=1.1113, B=0.0194",1.4308075772767,对比精确法,0.030899928875231,0.969100071124769,Ratio1
,,同比例,15.6641427002602,"(0.19340, 0.64180)","W=0.0000, RGB=1.0000","R=0.0807, G=1.1364, B=0.0263",0,对比精确法,0,1,Ratio1
,,纯RGB,15.6641427002602,"(0.19340, 0.64180)","W=0.0000, RGB=1.0000","R=0.0807, G=1.1364, B=0.0263",0,对比精确法,0,1,Ratio1
28,"(0.2368, 0.6205, 3.2180)",精确法,31.7801878265271,"(0.23680, 0.62050)","W=0.0000, RGB=1.0000","R=0.1901, G=1.0753, B=0.0206",0,基准,0,1,PureRGB
